1	814
10	390
101	112
106	168
110	130
118	115
12	1903
122	103
124	254
126	118
13	101
130	109
14	368
140	101
15	545
18	1809
19	329
2	174
20	792
22	170
24	414
25	1087
26	488
27	524
28	171
29	173
3	576
30	516
31	580
32	1715
33	422
34	333
35	711
36	785
37	128
38	269
39	275
40	875
41	163
42	189
43	1072
44	106
46	372
47	378
48	294
5	1032
50	764
51	924
52	638
53	969
54	256
55	327
57	324
58	515
59	567
6	1372
60	327
61	705
63	220
64	365
66	624
67	110
68	279
69	241
7	571
70	229
71	256
73	174
74	176
75	276
76	207
78	246
79	473
8	2513
80	148
81	140
83	189
86	299
88	102
9	744
90	106
91	279
92	106
93	305
94	160
95	187
98	241
99	148
1,12	284
1,18	165
1,25	133
1,32	126
1,35	102
1,43	174
1,5	196
1,51	111
1,6	213
1,61	107
1,66	102
1,8	300
1,9	136
10,12	135
12,14	105
12,15	197
12,18	419
12,20	159
12,24	135
12,25	244
12,26	125
12,27	169
12,30	194
12,31	162
12,32	322
12,33	176
12,34	106
12,35	207
12,36	190
12,39	102
12,40	222
12,43	466
12,46	106
12,51	265
12,52	184
12,53	228
12,55	136
12,58	142
12,59	213
12,60	101
12,61	284
12,64	114
12,66	219
12,79	175
12,93	140
15,18	132
15,43	127
15,61	100
18,20	134
18,25	238
18,26	116
18,30	134
18,31	189
18,32	377
18,35	143
18,36	194
18,40	206
18,43	239
18,50	111
18,51	301
18,52	124
18,53	192
18,58	115
18,59	111
18,61	144
18,66	154
18,79	100
20,25	155
20,32	167
24,32	101
25,32	285
25,35	140
25,36	111
25,43	154
25,51	118
25,53	108
26,32	133
27,43	107
27,61	103
3,12	194
3,18	145
3,25	101
3,32	100
3,43	109
3,6	140
3,8	238
30,43	171
31,32	111
31,43	100
32,35	181
32,36	144
32,40	207
32,43	183
32,50	136
32,51	239
32,52	124
32,53	242
32,58	118
32,59	117
32,61	114
32,66	122
33,43	107
35,43	118
35,53	105
36,43	113
40,43	108
40,51	123
40,53	117
43,51	147
43,52	100
43,53	126
43,59	134
43,61	168
43,66	141
43,79	114
5,12	353
5,18	242
5,25	182
5,27	101
5,32	205
5,35	135
5,36	116
5,40	130
5,43	207
5,51	137
5,52	105
5,53	133
5,6	288
5,61	136
5,66	112
5,8	416
5,9	201
50,53	112
51,52	105
51,53	154
6,10	122
6,12	427
6,15	144
6,18	338
6,25	226
6,27	170
6,30	115
6,31	110
6,32	269
6,35	184
6,36	151
6,40	174
6,43	254
6,51	193
6,52	143
6,53	150
6,58	121
6,60	104
6,61	204
6,66	141
6,79	122
6,8	551
6,9	177
7,12	132
7,18	108
7,8	184
8,10	162
8,12	736
8,14	133
8,15	271
8,18	557
8,20	201
8,24	168
8,25	338
8,26	164
8,27	257
8,30	209
8,31	202
8,32	394
8,33	173
8,34	148
8,35	262
8,36	269
8,39	114
8,40	327
8,43	481
8,46	110
8,47	125
8,51	294
8,52	248
8,53	241
8,55	145
8,57	126
8,58	194
8,59	218
8,60	116
8,61	317
8,64	135
8,66	295
8,71	113
8,75	111
8,79	201
8,9	296
8,93	119
8,98	106
9,12	257
9,18	137
9,25	104
9,32	131
9,40	105
9,43	153
9,51	106
1,12,43	102
1,6,8	101
1,8,12	128
12,18,43	120
5,12,43	121
5,6,12	121
5,6,8	149
5,8,12	168
5,8,18	108
5,8,43	118
6,12,18	113
6,12,43	127
6,12,61	100
6,8,12	219
6,8,18	153
6,8,32	103
6,8,43	143
6,8,61	107
8,12,15	113
8,12,18	176
8,12,25	106
8,12,32	137
8,12,35	103
8,12,40	104
8,12,43	228
8,12,51	100
8,12,59	100
8,12,61	144
8,12,66	121
8,18,43	125
8,9,12	133
